content,cleaned_content,cut_content,final_content
医生更崩溃[哭惹R]手套就没有一副好的[哭惹R],医生更崩溃[哭惹]手套就没有一副好的[哭惹],医生 更 崩溃 [ 哭 惹 ] 手套 就 没有 一副 好 的 [ 哭 惹 ],医生更崩溃[哭惹]手套一副好[哭惹]
去医院🏥说自费能用上进口吗,去医院说自费能用上进口吗,去 医院 说 自费 能用 上 进口 吗,去医院说自费能用上进口
,,,
[哭惹R]好害怕 不敢怀孕,[哭惹]好害怕 不敢怀孕,[ 哭 惹 ] 好 害怕   不敢 怀孕,[哭惹]好害怕怀孕
我给一个产妇打留置针，血管贼难弄，留置针又只有最大号的，打了第2针，终于进去了，然后它Y型与透明管接头处是漏的，那个血哗啦啦的漏，我比产妇还崩溃[微笑R],我给一个产妇打留置针血管贼难弄留置针又只有最大号的打了第2针终于进去了然后它y型与透明管接头处是漏的那个血哗啦啦的漏我比产妇还崩溃[微笑],我 给 一个 产妇 打 留置 针 血管 贼 难 弄 留置 针 又 只有 最大 号 的 打 了 第 2 针 终于 进去 了 然后 它 y 型 与 透明 管 接头处 是 漏 的 那个 血 哗啦啦 的 漏 我 比 产妇 还 崩溃 [ 微笑 ],一个产妇留置针血管贼难弄留置针号2针终于进去y型透明接头处漏血哗啦啦漏产妇还崩溃[微笑]
说个真事儿，我同事刚拆的新的无菌手套，打开里面放着一块牛轧糖，大家都懵了,说个真事儿我同事刚拆的新的无菌手套打开里面放着一块牛轧糖大家都懵了,说个 真 事儿 我 同事 刚 拆 的 新 的 无菌 手套 打开 里面 放着 一块 牛轧糖 大家 都 懵 了,说个真事儿同事刚拆新无菌手套打开放着一块牛轧糖都懵
刚刚接到办公室主任电话通知，明天会发统一的文，关于集采的，然后不能留文字，不能发微信，发信息，所以都是一对一打电话，说了四个点，不评论，不跟帖，不接受采访，如果有病人问怎么配不到药，就说同类型的药医院有，必须一个转一个，打电话通知，感觉之前瑞金某主任提的点，北京下来调查，有些说真话的人，很有可能要炮灰了，动了谁的蛋糕🍰，昨天刷到唐山某私立医院倒闭，医院都关了算了[鄙视R][鄙视R],刚刚接到办公室主任电话通知明天会发统一的文关于集采的然后不能留文字不能发微信发信息所以都是一对一打电话说了四个点不评论不跟帖不接受采访如果有病人问怎么配不到药就说同类型的药医院有必须一个转一个打电话通知感觉之前瑞金某主任提的点北京下来调查有些说真话的人很有可能要炮灰了动了谁的蛋糕昨天刷到唐山某私立医院倒闭医院都关了算了[鄙视][鄙视],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 的 文 关于 集采 的 然后 不能 留 文字 不能 发微 信发 信息 所以 都 是 一对一 打电话 说 了 四个 点 不 评论 不 跟帖 不 接受 采访 如果 有 病人 问 怎么 配 不到 药 就 说 同 类型 的 药 医院 有 必须 一个 转 一个 打电话 通知 感觉 之前 瑞金 某 主任 提 的 点 北京 下来 调查 有些 说 真话 的 人 很 有 可能 要 炮灰 了 动 了 谁 的 蛋糕 昨天 刷到 唐山 某 私立 医院 倒闭 医院 都 关 了 算了 [ 鄙视 ] [ 鄙视 ],刚刚接到办公室主任电话通知明天会发统一文集采留文字发微信发信息都一对一打电话说四个点不评论不跟帖不接受采访病人问配不到药说类型药医院一个转一个打电话通知感觉瑞金主任提点北京调查说真话人很炮灰动蛋糕昨天刷到唐山私立医院倒闭医院都关算了[鄙视][鄙视]
听说医生做手术时被电刀电到了，真是地狱笑话了，为了送走领退休金的老家伙也是出尽损招了[笑哭R][笑哭R]@未妨惆怅是清狂,听说医生做手术时被电刀电到了真是地狱笑话了为了送走领退休金的老家伙也是出尽损招了[笑哭][笑哭]未妨惆怅是清狂,听说 医生 做手术 时 被 电刀 电到 了 真是 地狱 笑话 了 为了 送走 领 退休金 的 老家伙 也 是 出 尽 损招 了 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 是 清狂,听说医生做手术时电刀电到地狱笑话送走领退休金老家伙出损招[笑哭][笑哭]未妨惆怅清狂
坐标口腔，医院集采药以前一个材料像糖豆一样，现在挤出来是稀泥，我都不知道怎么搞了，现在的橡胶手套用点力往上套就碎了，还没改到这里，要真改了估计科室养不起这么多人我也要走了吧，不过说实话这么改科室的人都要走差不多,坐标口腔医院集采药以前一个材料像糖豆一样现在挤出来是稀泥我都不知道怎么搞了现在的橡胶手套用点力往上套就碎了还没改到这里要真改了估计科室养不起这么多人我也要走了吧不过说实话这么改科室的人都要走差不多,坐标 口腔医院 集 采药 以前 一个 材料 像 糖豆 一样 现在 挤出来 是 稀泥 我 都 不 知道 怎么 搞 了 现在 的 橡胶 手套 用点力 往 上 套 就 碎 了 还 没 改到 这里 要 真改 了 估计 科室 养不起 这么 多人 我 也 要 走 了 吧 不过 说实话 这么 改 科室 的 人 都 要 走 差不多,坐标口腔医院集采药一个材料糖豆挤出来稀泥都不搞橡胶手套用点力上套碎还没改到真改估计科室养不起多人走说实话改科室人都走差不多
药没效果还能够去药店买进口药，现在问题是直接仪器都不行。带我女儿查乙肝两对半抗体，国产机子测出来抗体740，进口机子测出来抗体480（同个医院同个血液样本）。离谱吧？现在已经是源头就开始出问题了，医生根据血液报告开药，血液报告就开始出错，药怎么能正确开？更何况药还没效果？,药没效果还能够去药店买进口药现在问题是直接仪器都不行带我女儿查乙肝两对半抗体国产机子测出来抗体740进口机子测出来抗体480同个医院同个血液样本离谱吧现在已经是源头就开始出问题了医生根据血液报告开药血液报告就开始出错药怎么能正确开更何况药还没效果,药 没 效果 还 能够 去 药店 买 进口药 现在 问题 是 直接 仪器 都 不行 带 我 女儿 查 乙肝 两对半 抗体 国产机 子测 出来 抗体 740 进口 机子 测 出来 抗体 480 同个 医院 同个 血液 样本 离谱 吧 现在 已经 是 源头 就 开始 出 问题 了 医生 根据 血液 报告 开药 血液 报告 就 开始 出错 药 怎么 能 正确 开 更何况 药 还 没 效果,药没效果还去药店买进口药仪器都不行带女儿查乙肝两对半抗体国产机子测抗体740进口机子测抗体480同个医院同个血液样本离谱源头出医生血液报告开药血液报告出错药正确开更何况药还没效果
