final_content,text,keyword,similarity_score
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],儿科医生,0.7500409
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],现实生活,0.73412395
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],职业生涯,0.73412395
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],毕业生,0.72520685
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],实习生,0.72520685
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],应届生,0.72520685
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],规培生,0.72520685
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],研究生,0.72520685
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],专科生,0.72520685
医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 一副 好 [ 哭 惹 ],生蛋鸡,0.71322274
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,风口浪尖,0.8118908
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,口腔医院,0.80746615
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,缺口,0.7873831
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,门口,0.7873831
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,尊口,0.7873831
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,进口,0.7873831
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,周口,0.7873831
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,封口,0.7873831
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,进口药,0.7859092
去 医院 说 自费 能用 上 进口,去 医院 说 自费 能用 上 进口,口腔科,0.77688
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,舒舒服服,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,与虎谋皮,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,疑难杂症,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,各取所需,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,踏踏实实,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,销声匿迹,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,等级制度,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,读书无用,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,欣欣向荣,0.69126046
[ 哭 惹 ] 好 害怕 怀孕,[ 哭 惹 ] 好 害怕 怀孕,基层医院,0.69126046
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一式两份,0.5604155
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一派胡言,0.5604155
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一点半点,0.5604155
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一腔热血,0.5604155
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一两百万,0.5604155
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一知半解,0.5604155
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个个,0.539335
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个亿,0.539335
一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个 产妇 留置 针 血管 贼 难 弄 留置 针 号 2 针 终于 进去 y 型 透明 接头处 漏 血 哗啦啦 漏 产妇 还 崩溃 [ 微笑 ],一个半,0.539335
