cut_content,text,keyword1,keyword2,keyword3,similarity_score
医生 更 崩溃 [ 哭 惹 ] 手套 就 没有 一副 好 的 [ 哭 惹 ],医生 更 崩溃 [ 哭 惹 ] 手套 就 没有 一副 好 的 [ 哭 惹 ],骨科医生,儿科医生,东郭先生,0.8483112
去 医院 说 自费 能用 上 进口 吗,去 医院 说 自费 能用 上 进口 吗,混口饭吃,进口药,口腔医院,0.905035
[ 哭 惹 ] 好 害怕   不敢 怀孕,[ 哭 惹 ] 好 害怕   不敢 怀孕,苦不堪言,忙不过来,值不值得,0.93035364
我 给 一个 产妇 打 留置 针 血管 贼 难 弄 留置 针 又 只有 最大 号 的 打 了 第 2 针 终于 进去 了 然后 它 y 型 与 透明 管 接头处 是 漏 的 那个 血 哗啦啦 的 漏 我 比 产妇 还 崩溃 [ 微笑 ],我 给 一个 产妇 打 留置 针 血管 贼 难 弄 留置 针 又 只有 最大 号 的 打 了 第 2 针 终于 进去 了 然后 它 y 型 与 透明 管 接头处 是 漏 的 那个 血 哗啦啦 的 漏 我 比 产妇 还 崩溃 [ 微笑 ],据我所知,恕我直言,敌我矛盾,0.8603495
说个 真 事儿 我 同事 刚 拆 的 新 的 无菌 手套 打开 里面 放着 一块 牛轧糖 大家 都 懵 了,说个 真 事儿 我 同事 刚 拆 的 新 的 无菌 手套 打开 里面 放着 一块 牛轧糖 大家 都 懵 了,医疗事故,注意事项,闲着没事,0.8043918
刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 的 文 关于 集采 的 然后 不能 留 文字 不能 发微 信发 信息 所以 都 是 一对一 打电话 说 了 四个 点 不 评论 不 跟帖 不 接受 采访 如果 有 病人 问 怎么 配 不到 药 就 说 同 类型 的 药 医院 有 必须 一个 转 一个 打电话 通知 感觉 之前 瑞金 某 主任 提 的 点 北京 下来 调查 有些 说 真话 的 人 很 有 可能 要 炮灰 了 动 了 谁 的 蛋糕 昨天 刷到 唐山 某 私立 医院 倒闭 医院 都 关 了 算了 [ 鄙视 ] [ 鄙视 ],刚刚 接到 办公室 主任 电话 通知 明天 会发 统一 的 文 关于 集采 的 然后 不能 留 文字 不能 发微 信发 信息 所以 都 是 一对一 打电话 说 了 四个 点 不 评论 不 跟帖 不 接受 采访 如果 有 病人 问 怎么 配 不到 药 就 说 同 类型 的 药 医院 有 必须 一个 转 一个 打电话 通知 感觉 之前 瑞金 某 主任 提 的 点 北京 下来 调查 有些 说 真话 的 人 很 有 可能 要 炮灰 了 动 了 谁 的 蛋糕 昨天 刷到 唐山 某 私立 医院 倒闭 医院 都 关 了 算了 [ 鄙视 ] [ 鄙视 ],个人所得税,从业人员,管理人员,0.754912
听说 医生 做手术 时 被 电刀 电到 了 真是 地狱 笑话 了 为了 送走 领 退休金 的 老家伙 也 是 出 尽 损招 了 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 是 清狂,听说 医生 做手术 时 被 电刀 电到 了 真是 地狱 笑话 了 为了 送走 领 退休金 的 老家伙 也 是 出 尽 损招 了 [ 笑 哭 ] [ 笑 哭 ] 未妨 惆怅 是 清狂,资产负债率,冲锋在前,按劳分配,0.79021335
坐标 口腔医院 集 采药 以前 一个 材料 像 糖豆 一样 现在 挤出来 是 稀泥 我 都 不 知道 怎么 搞 了 现在 的 橡胶 手套 用点力 往 上 套 就 碎 了 还 没 改到 这里 要 真改 了 估计 科室 养不起 这么 多人 我 也 要 走 了 吧 不过 说实话 这么 改 科室 的 人 都 要 走 差不多,坐标 口腔医院 集 采药 以前 一个 材料 像 糖豆 一样 现在 挤出来 是 稀泥 我 都 不 知道 怎么 搞 了 现在 的 橡胶 手套 用点力 往 上 套 就 碎 了 还 没 改到 这里 要 真改 了 估计 科室 养不起 这么 多人 我 也 要 走 了 吧 不过 说实话 这么 改 科室 的 人 都 要 走 差不多,在我看来,据我所知,自我感觉,0.7762997
药 没 效果 还 能够 去 药店 买 进口药 现在 问题 是 直接 仪器 都 不行 带 我 女儿 查 乙肝 两对半 抗体 国产机 子测 出来 抗体 740 进口 机子 测 出来 抗体 480 同个 医院 同个 血液 样本 离谱 吧 现在 已经 是 源头 就 开始 出 问题 了 医生 根据 血液 报告 开药 血液 报告 就 开始 出错 药 怎么 能 正确 开 更何况 药 还 没 效果,药 没 效果 还 能够 去 药店 买 进口药 现在 问题 是 直接 仪器 都 不行 带 我 女儿 查 乙肝 两对半 抗体 国产机 子测 出来 抗体 740 进口 机子 测 出来 抗体 480 同个 医院 同个 血液 样本 离谱 吧 现在 已经 是 源头 就 开始 出 问题 了 医生 根据 血液 报告 开药 血液 报告 就 开始 出错 药 怎么 能 正确 开 更何况 药 还 没 效果,资产负债率,莫名其妙,恕我直言,0.70220387
2025 年 了 还 能 看到 工分 两个 字,2025 年 了 还 能 看到 工分 两个 字,2025,老年病,2023,0.7121177
